id|name|standard|category|applicable|effort|comment|guidance|project_type_id
1| All GUI’s will have a standard look and feel of the target Operating System (i.e. they will have a consistent look & feel)|Y|User Interface||||only for one target OS|1
2|All ‘grids’ (lists) of data shown on screen will not have the functionality to be sorted and filtered by clicking on the appropriate column of that grid. |Y|User Interface|||||1
3|All deletions to have a confirm (Y/N) for the delete. For web application, confirmation dialog shall be the browser default one.|Y|User Interface|||||1
4|When navigating away from added/updated data, the system will prompt a confirm (Y/N) to save the data. For web application, confirmation dialog shall be the browser default one.|M|User Interface||||need more effort to handle dirty data if any|1
5|All error messages should try to give suggestions of what the error is and if possible solution(s) to rectify the problem.|Y|User Interface|||||1
6|When validating input files and importing data users will be supplied with the relevant details to diagnose issues i.e. what data is invalid and why it is incorrect.|M|User Interface||||need effort to implement validation rules and relevant details to diagnose issues|1
7|All error messages of the system should be defined uniquely and maintained in a seperate file eg. in Resource file, conf file, etc.|Y|User Interface||||"not cover testing
It mentions about system error logging. "|1
8|"Vertical scrolling is allowable (but paging should be used for search results etc.)
Horizontal scrolling should be avoided. "|Y|User Interface|||||1
9|All controls or group of controls will have a text label|Y|User Interface||||Can use placeholders instead of labels|1
10|Tab order on the GUI should flow from left to right, top to bottom by default but can be changed by localization if required (Please note that localization is not a NashTech Standard non-functional requirement). |Y|User Interface||||Only apply for standard controls.|1
11|Use confirmations only when: |Y|User Interface|||||1
12| There is a clear reason not to proceed and a reasonable chance that sometimes users won't.|Y|User Interface|||||1
13| The action has significant consequences or cannot be easily undone.|Y|User Interface|||||1
14| The action has consequences that users might not be aware of.|Y|User Interface|||||1
15| Proceeding with the action requires users to make a choice that doesn't have a suitable default.|Y|User Interface|||||1
16| Given the current context, users are likely to have performed an action in error.|Y|User Interface|||||1
17|For desktop applications and websites: default support will be to a resolution of 1024x768 pixels.|Y|User Interface||||"suggest change resolution to 1366x768 pixels
by default, HvN only support testing on 1 screen resolution"|1
18|Where it is possible to calculate then Progress Bars / waiting indicators (depending on the system) should be used for lengthy processes to give the user an idea of what has completed – if not then the standard waiting indicator in the shape of a circling ring will be shown.|M|User Interface||||Simplest implementation is selected. And additional effort will be added when any complex progress bar needed.|1
19|Any drop down lists will be in alphabetical or numerical order (if not stated otherwise within the functional requirements). |Y|User Interface|||||1
20|Where a style guide is provided for the system then the UI will follow those guidelines.||User Interface||||It just a guidance, no further action required|1
21|Where screen mock-ups, wireframes are provided for individual screens, these will be used in conjunction with the style guide.||User Interface||||It just a guidance, no further action required|1
22|If nothing is provided than the NashTech Standard UI guidelines wil be applied. |Y|User Interface||||need to define NashTech Standard UI guidelines(Web & Mobile)|1
23|The standard for all interfaces going out (from) the system will be via XML or JSON. The programming interface and all data items will be documented. |M|External Interfaces||||Additional effort is added when several and complex interfaces needed to be documented.|1
24|For programming interfaces coming in to the system, the standard process will be to parse the data, report any errors at this point, then process the data and report on any errors at this point, unless there’s explicit requirement that the system does not need to check because of performance reasons.|Y|External Interfaces||||"only handle error messages,
excluding analysing/invetigating interfaces "|1
25|Each programming interface (including data items) is expected to be documented to a level that design can commence.|Y|External Interfaces|||||1
26|The GUI will contain ‘plain English’ (therefore spell checked) and not ‘jargon’ that only certain staff can understand |Y|Usability|||||1
27|No auto-completion of fields will be developed.|Y|Usability|||||1
28|The system will try to minimise the number of clicks per GUI/transaction and increase the input capabilities per window. |Y|Usability|||||1
29|Unknown system errors should be captured relevent to the failure part. Log trace should also be captured.|Y|Usability|||||1
30|Where two requests are updating the same data. The first to commit will be successful and the conflicting update will be lost with the user informed the request failed. |M|Usability||||Need additional effort to handle conflicting issue properly(e.g. roll back transaction or refresh data)|1
31|"For all website developments we assume thata ‘responsive design’ is required but it should be noted that this is not a commitment to support and validate all platforms/devices/browsers.
Each device / browserthat the system needs to be supported on andtested for must be explicitly listed in the clients requirements and therefore used to estimate.
"|M|Usability||||"don't use UI Common lib:
30% (UI effort) for one iphone version, 20% (UI effort) for one ipad version, 30% (UI effort) for one Android phone version.

Use UI Common Lib:
15% (UI effort) for one iphone version, 10% (UI effort) for one ipad version, 15% (UI effort) for one Android phone version."|1
32|The system will need to comply with the Data Protection Act. This act gives individuals the right to know what information is held about them. It provides a framework to ensure that personal information is handled properly; the Act has 2 main areas:|Y|Usability|||||1
33|1. Anyone who processes personal information must comply with eight principles, which make sure that personal information is:|Y|Usability|||||1
34|Fairly and lawfully processed|Y|Usability|||||1
35|Processed for limited purposes|Y|Usability|||||1
36|Adequate, relevant and not excessive|Y|Usability|||||1
37|Accurate and up to date|Y|Usability|||||1
38|Not kept for longer than is necessary|Y|Usability|||||1
39|Processed in line with your rights|Y|Usability|||||1
40|Secure|Y|Usability|||||1
41|Not transferred to other countries without adequate protection|Y|Usability|||||1
42|2. Individuals have the rights to find out what personal information is held on computer and most paper records.|Y|Usability|||||1
43|This section is added as a reminder to the client about their responsibilities for the Data Protection Act; NashTech will not specifically write any code for the Data Protection Act requirements|Y|Usability||||Not relevant to development|1
44|All normal data input, data output and content presenting application screens need to be ready to be interacted with within 3 seconds during normal load and normal client/server connection with following definitions|Y|Performance|||||1
45|-Normal data input screen: screens with under 30 fields, interact directly with back end without complex data calculation, not interact with external systems and optionally save data directly into database, normal data input screen will not have big contents such as big image, video, audio files (less than 200KB in total size)|Y|Performance|||||1
46|"- Normal data output screen: query directly from database without complex animations,without lookup, not go thru complex data processing or external server interaction, to display less than 50 rows and 10 columns and each row less than 100 character, without big contents (maximum content related size less than 200KB in total)
- Data volume is not big"|Y|Performance||||no third party component involved, no chart calculation|1
47|-Normal load: 30 concurrent user for non-load balanced normal server|Y|Performance|||||1
48|"-Normal server/workstation: Intel Core i5, 8GB RAM, 500GB hard disk.
"|Y|Performance||||upgrade to memory of 4GB RAM to 8GB RAM to adapt with company's standard.|1
49|-Normal client/server connection: 500KB/s|Y|Performance||||bandwidth for 1 concurrent user|1
50|"By default we will not do performance testing.
"|Y|Performance|||| For larger systems application load testing must be undertaken and included by default with an additional cost. This testing needs to validate within the limits of the offshore development environment and focus on application bottlenecks and contention. It is not a system test.|1
51|For other cases (complex processing, seeking, calculation, big report) there will be specific agreement after doing real benchmarking, although we will seek to optimise the code.|Y|Performance|||||1
52|No single process shall consume inappropriate CPU usage. (Eg: a common request leads 100% CPU workload)|Y|Performance|||||1
